lead_time,cycle,neurons,dropout,activation,num_layers,val_mae12,n_reps
18.0,0.0,256.0,0.0,selu,3.0,0.6069812973340353,3
18.0,0.0,128.0,0.0,selu,2.0,0.6277415156364441,3
18.0,0.0,16.0,0.0,selu,3.0,0.6330429514249166,3
18.0,0.0,128.0,0.0,selu,3.0,0.638232409954071,3
18.0,0.0,256.0,0.0,selu,1.0,0.6399749914805094,3
18.0,0.0,256.0,0.0,selu,2.0,0.6452305118242899,3
18.0,0.0,64.0,0.0,selu,3.0,0.6506944497426351,3
18.0,0.0,64.0,0.0,leaky_relu,1.0,0.6527689894040426,3
18.0,0.0,32.0,0.0,selu,3.0,0.6534972985585531,3
18.0,0.0,256.0,0.0,relu,2.0,0.6536149183909098,3
18.0,0.0,64.0,0.0,relu,2.0,0.653940220673879,3
18.0,0.0,256.0,0.1,relu,2.0,0.6572789748509725,3
18.0,0.0,64.0,0.0,selu,2.0,0.6608542203903198,3
18.0,0.0,256.0,0.05,leaky_relu,1.0,0.6679738759994507,3
18.0,0.0,16.0,0.0,selu,1.0,0.670729418595632,3
18.0,0.0,128.0,0.0,selu,1.0,0.6809196074803671,3
18.0,0.0,256.0,0.05,relu,2.0,0.6861591935157776,3
18.0,0.0,128.0,0.1,relu,2.0,0.6862576603889465,3
18.0,0.0,64.0,0.0,selu,1.0,0.6909109155337015,3
18.0,0.0,16.0,0.0,selu,2.0,0.6922894914944967,3
18.0,1.0,128.0,0.0,selu,2.0,0.7142958839734396,3
18.0,1.0,32.0,0.0,selu,2.0,0.7239054044087728,3
18.0,1.0,32.0,0.3,leaky_relu,1.0,0.7305713097254435,3
18.0,1.0,64.0,0.0,selu,2.0,0.7314075032869974,3
18.0,1.0,256.0,0.0,selu,3.0,0.732789158821106,3
18.0,1.0,256.0,0.0,selu,1.0,0.7331987222035726,3
18.0,1.0,16.0,0.0,relu,1.0,0.7357051769892374,3
18.0,1.0,256.0,0.0,selu,2.0,0.7414121230443319,3
18.0,1.0,64.0,0.0,selu,1.0,0.7445625265439352,3
18.0,1.0,128.0,0.0,relu,2.0,0.7468484044075012,3
18.0,1.0,128.0,0.0,selu,3.0,0.7491241097450256,3
18.0,1.0,16.0,0.0,relu,2.0,0.7497641444206238,3
18.0,1.0,128.0,0.0,selu,1.0,0.7507698933283488,3
18.0,1.0,256.0,0.0,relu,1.0,0.7509373823801676,3
18.0,1.0,128.0,0.0,relu,1.0,0.7550873557726542,3
18.0,1.0,128.0,0.0,leaky_relu,2.0,0.7560300230979919,3
18.0,1.0,16.0,0.0,selu,3.0,0.758786936601003,3
18.0,1.0,32.0,0.0,leaky_relu,2.0,0.760005533695221,3
18.0,1.0,16.0,0.0,selu,2.0,0.765352725982666,3
18.0,1.0,16.0,0.0,selu,1.0,0.7661715745925903,3
18.0,2.0,256.0,0.0,selu,2.0,0.696571409702301,3
