dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
06-16-2011 1500,29,28.7
06-16-2011 1600,29.4,29.2
06-16-2011 1700,29.7,29.9
06-16-2011 1800,29.9,30.4
06-16-2011 1900,29.7,30.9
06-16-2011 2000,29.8,31.3
06-16-2011 2100,29.9,31.6
06-16-2011 2200,29.4,31.8
06-16-2011 2300,29.7,31.6
06-17-2011 0000,29.3,31.3
06-17-2011 0100,28.8,30.9
06-17-2011 0200,28.5,30.5
06-17-2011 0300,28.5,30.1
06-17-2011 0400,28.5,29.8
06-17-2011 0500,28.4,29.6
06-17-2011 0600,28.3,29.3
06-17-2011 0700,28.4,29.1
06-17-2011 0800,28.2,28.9
06-17-2011 0900,28,28.7
06-17-2011 1000,28.1,28.4
06-17-2011 1100,28.1,28.4
06-17-2011 1200,28,28.3
06-17-2011 1300,28.4,28.4
06-17-2011 1400,29.1,28.6
06-17-2011 1500,29.5,29
06-17-2011 1600,29.8,29.5
06-17-2011 1700,29.7,30
06-17-2011 1800,30.1,30.6
06-17-2011 1900,30.1,31.1
06-17-2011 2000,30.3,31.4
06-17-2011 2100,30,31.6
06-17-2011 2200,29.9,31.7
06-17-2011 2300,29.5,31.5
06-18-2011 0000,29.2,31.2
06-18-2011 0100,28.7,30.7
06-18-2011 0200,28.4,30.4
06-18-2011 0300,28.2,30
06-18-2011 0400,28.1,29.8
06-18-2011 0500,28.1,29.5
06-18-2011 0600,27.9,29.2
06-18-2011 0700,27.9,29
06-18-2011 0800,27.7,28.9
06-18-2011 0900,27.7,28.6
06-18-2011 1000,27.7,28.4
06-18-2011 1100,27.4,28.3
06-18-2011 1200,27.4,28.3
06-18-2011 1300,27.8,28.2
06-18-2011 1400,28.5,28.4
06-18-2011 1500,28.9,28.9
06-18-2011 1600,29.4,29.4
06-18-2011 1700,30.1,30.1
06-18-2011 1800,30.2,30.7
06-18-2011 1900,30.2,31.2
06-18-2011 2000,29.9,31.7
06-18-2011 2100,29.5,31.9
06-18-2011 2200,29.6,32
06-18-2011 2300,29.3,31.9
06-19-2011 0000,29,34.8
06-19-2011 0100,28.4,31.1
06-19-2011 0200,28,30.7
06-19-2011 0300,27.8,30.3
06-19-2011 0400,27.8,30
06-19-2011 0500,27.6,29.7
06-19-2011 0600,27.6,29.4
06-19-2011 0700,27.5,29
06-19-2011 0800,27.5,28.7
06-19-2011 0900,27.5,28.5
06-19-2011 1000,27.4,28.4
06-19-2011 1100,27.2,28.2
06-19-2011 1200,27,28.1
06-19-2011 1300,27.6,28.1
06-19-2011 1400,28.1,28.3
