dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
12-05-2013 1000,19.2,19.5
12-05-2013 1100,19,19.5
12-05-2013 1200,19.2,19.5
12-05-2013 1300,19.6,19.5
12-05-2013 1400,19.7,19.5
12-05-2013 1500,19.9,19.5
12-05-2013 1600,21.4,19.8
12-05-2013 1700,20.8,20.1
12-05-2013 1800,20.1,20.5
12-05-2013 1900,19.3,20.9
12-05-2013 2000,20.1,21.2
12-05-2013 2100,17.5,21.3
12-05-2013 2200,15.1,21
12-05-2013 2300,13.3,20.6
12-06-2013 0000,10.9,19.6
12-06-2013 0100,9.9,19.6
12-06-2013 0200,9.2,19.1
12-06-2013 0300,7.7,18.7
12-06-2013 0400,7.2,18.4
12-06-2013 0500,6.7,18
12-06-2013 0600,6,17.5
12-06-2013 0700,5.6,17.2
12-06-2013 0800,4.8,16.8
12-06-2013 0900,5,16.5
12-06-2013 1000,4.6,16.3
12-06-2013 1100,4.6,16.4
12-06-2013 1200,4.1,15.9
12-06-2013 1300,3.6,15.8
12-06-2013 1400,3.4,15.4
12-06-2013 1500,3.3,15.1
12-06-2013 1600,3.3,14.8
12-06-2013 1700,4.1,14.5
12-06-2013 1800,4.6,14.2
12-06-2013 1900,5.3,13.9
12-06-2013 2000,6.2,13.8
12-06-2013 2100,6.6,13.6
12-06-2013 2200,7.4,13.4
12-06-2013 2300,7.3,13.1
12-07-2013 0000,7,12.8
12-07-2013 0100,6.4,12.5
12-07-2013 0200,5.2,12
12-07-2013 0300,3.8,11.7
12-07-2013 0400,3,11.4
12-07-2013 0500,2.8,10.9
12-07-2013 0600,2.2,10.6
12-07-2013 0700,2.2,10.3
12-07-2013 0800,1.4,10.1
12-07-2013 0900,1.6,9.9
12-07-2013 1000,1.9,9.5
12-07-2013 1100,1.6,9.2
12-07-2013 1200,1.1,9
12-07-2013 1300,1.6,8.5
12-07-2013 1400,1.6,8.7
12-07-2013 1500,1.4,8
12-07-2013 1600,1.3,8.6
12-07-2013 1700,1.1,8.8
12-07-2013 1800,0.9,8.6
