dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
10-20-2024 1800,26.6,24.7
10-20-2024 1900,26.6,25.0
10-20-2024 2000,26.7,25.5
10-20-2024 2100,26.3,25.9
10-20-2024 2200,26.3,26.3
10-20-2024 2300,26.1,26.6
10-21-2024 0000,25.6,26.7
10-21-2024 0100,25.6,26.6
10-21-2024 0200,25.4,26.4
10-21-2024 0300,25.5,26.2
10-21-2024 0400,25.2,25.8
10-21-2024 0500,25.0,25.5
10-21-2024 0600,24.9,25.3
10-21-2024 0700,24.8,25.1
10-21-2024 0800,24.4,25.0
10-21-2024 0900,24.2,24.8
10-21-2024 1000,24.4,24.7
10-21-2024 1100,23.7,24.5
10-21-2024 1200,22.9,24.6
10-21-2024 1300,23.0,24.5
10-21-2024 1400,23.3,24.4
10-21-2024 1500,23.7,24.4
10-21-2024 1600,26.5,24.6
10-21-2024 1700,27.0,24.8
10-21-2024 1800,27.0,25.1
10-21-2024 1900,26.9,25.4
10-21-2024 2000,26.9,25.8
10-21-2024 2100,27.0,26.2
10-21-2024 2200,27.3,26.6
10-21-2024 2300,27.1,26.8
10-22-2024 0000,26.5,26.8
10-22-2024 0100,26.2,26.7
10-22-2024 0200,25.9,26.7
10-22-2024 0300,25.9,26.8
10-22-2024 0400,25.6,26.8
10-22-2024 0500,25.6,26.5
10-22-2024 0600,25.7,26.2
10-22-2024 0700,25.7,25.8
10-22-2024 0800,25.6,25.7
10-22-2024 0900,25.4,25.7
10-22-2024 1000,25.2,25.6
10-22-2024 1100,25.0,25.5
10-22-2024 1200,24.8,25.5
10-22-2024 1300,24.8,25.5
10-22-2024 1400,25.3,25.4
10-22-2024 1500,24.3,25.5
10-22-2024 1600,25.5,25.5
10-22-2024 1700,27.6,25.6
10-22-2024 1800,27.3,25.8
10-22-2024 1900,27.3,26.2
10-22-2024 2000,27.2,26.3
10-22-2024 2100,26.8,26.4
10-22-2024 2200,26.8,26.3
10-22-2024 2300,26.6,26.3
10-23-2024 0000,26.2,26.4
10-23-2024 0100,25.9,26.4
10-23-2024 0200,25.8,26.4
10-23-2024 0300,25.6,26.3
10-23-2024 0400,25.3,26.2
10-23-2024 0500,25.2,26.2
10-23-2024 0600,25.1,26.1
10-23-2024 0700,24.9,26.0
10-23-2024 0800,25.0,25.9
10-23-2024 0900,24.7,25.8
10-23-2024 1000,25.3,25.7
10-23-2024 1100,24.4,25.6
10-23-2024 1200,24.2,25.6
10-23-2024 1300,24.1,25.4
10-23-2024 1400,24.3,25.4
10-23-2024 1500,25.1,25.5
10-23-2024 1600,25.6,25.8
10-23-2024 1700,26.0,26.0
10-23-2024 1800,27.0,26.4
10-23-2024 1900,27.2,26.8
10-23-2024 2000,27.5,27.0
10-23-2024 2100,27.1,27.2
10-23-2024 2200,27.1,27.3
10-23-2024 2300,26.9,27.4
10-24-2024 0000,26.4,27.5
10-24-2024 0100,26.2,27.5
10-24-2024 0200,26.0,27.4
10-24-2024 0300,26.0,27.3
10-24-2024 0400,26.0,27.2
10-24-2024 0500,25.7,27.1
10-24-2024 0600,25.6,26.6
10-24-2024 0700,25.4,26.6
10-24-2024 0800,25.4,26.4
10-24-2024 0900,25.3,26.3
10-24-2024 1000,25.0,26.0
10-24-2024 1100,24.8,26.0
10-24-2024 1200,24.4,25.8
