run_num,model_type,lead_time,cycle,activation,num_layers,neurons,dropout,loss_value,val_mae,val_mae12,val_me,val_me12,val_mape,mae_2021,mae12_2021,me_2021,me12_2021,mape_2021,metrics,timestamp,status,duration_sec
3,MAPE,90,3,leaky_relu,3,128,0.0,4.2110490798950195,0.8256849646568298,1.6869537830352783,-0.26310215379148194,1.4181059218850356,4.2110490798950195,0.8918963670730591,1.021735429763794,-0.026375764784871178,0.5228411642032138,5.05241584777832,"{""loss"": 3.7225725650787354, ""mape"": 3.7225725650787354, ""mae"": 0.7686325311660767, ""val_loss"": 4.2110490798950195, ""val_mape"": 4.2110490798950195, ""val_mae"": 0.8256849646568298, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 1.6869537830352783, ""val_me"": -0.26310215379148194, ""val_me12"": 1.4181059218850356, ""mape_2021"": 5.05241584777832, ""mae_2021"": 0.8918963670730591, ""mae12_2021"": 1.021735429763794, ""me_2021"": -0.026375764784871178, ""me12_2021"": 0.5228411642032138, ""epochs_trained"": 358}",2026-07-21T02:30:42.080592,completed,45.8
3,MAPE,90,3,leaky_relu,3,128,0.1,3.2753312587738037,0.6313947439193726,1.1831533908843994,-0.1566889967529968,0.8497143632844005,3.2753312587738037,0.6705390214920044,0.9795618653297424,0.20725489168803687,-0.08848481730614059,3.942795991897583,"{""loss"": 5.861573219299316, ""mape"": 5.861573219299316, ""mae"": 1.2821259498596191, ""val_loss"": 3.2753312587738037, ""val_mape"": 3.2753312587738037, ""val_mae"": 0.6313947439193726, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 1.1831533908843994, ""val_me"": -0.1566889967529968, ""val_me12"": 0.8497143632844005, ""mape_2021"": 3.942795991897583, ""mae_2021"": 0.6705390214920044, ""mae12_2021"": 0.9795618653297424, ""me_2021"": 0.20725489168803687, ""me12_2021"": -0.08848481730614059, ""epochs_trained"": 428}",2026-07-21T02:30:49.409506,completed,52.5
3,MAPE,90,3,leaky_relu,3,128,0.05,3.45182204246521,0.6541728377342224,1.3963325023651123,-0.20283975648515631,0.9795660621598278,3.45182204246521,0.7010136246681213,1.0265737771987915,0.1360548644558561,-0.1127006132337181,4.124427318572998,"{""loss"": 4.921182155609131, ""mape"": 4.921182155609131, ""mae"": 1.0522394180297852, ""val_loss"": 3.45182204246521, ""val_mape"": 3.45182204246521, ""val_mae"": 0.6541728377342224, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 1.3963325023651123, ""val_me"": -0.20283975648515631, ""val_me12"": 0.9795660621598278, ""mape_2021"": 4.124427318572998, ""mae_2021"": 0.7010136246681213, ""mae12_2021"": 1.0265737771987915, ""me_2021"": 0.1360548644558561, ""me12_2021"": -0.1127006132337181, ""epochs_trained"": 438}",2026-07-21T02:30:49.681053,completed,52.9
3,MAPE,90,3,leaky_relu,3,128,0.3,3.3029160499572754,0.6275681853294373,1.3529890775680542,0.010118163932497308,0.8580890746467276,3.3029160499572754,0.7658102512359619,1.1381572484970093,0.46679612262735765,-0.4864630766601425,4.455754280090332,"{""loss"": 8.556288719177246, ""mape"": 8.556288719177246, ""mae"": 1.944791316986084, ""val_loss"": 3.3029160499572754, ""val_mape"": 3.3029160499572754, ""val_mae"": 0.6275681853294373, ""lr"": 0.00010000000474974513, ""val_mae12"": 1.3529890775680542, ""val_me"": 0.010118163932497308, ""val_me12"": 0.8580890746467276, ""mape_2021"": 4.455754280090332, ""mae_2021"": 0.7658102512359619, ""mae12_2021"": 1.1381572484970093, ""me_2021"": 0.46679612262735765, ""me12_2021"": -0.4864630766601425, ""epochs_trained"": 428}",2026-07-21T02:30:56.700417,completed,48.3
3,MAPE,90,3,leaky_relu,3,256,0.0,4.045048713684082,0.7864006161689758,1.6755790710449219,-0.24303397274917926,1.3916266553616898,4.045048713684082,0.8304613828659058,1.4894522428512573,0.025877128845675456,0.7146212177480032,5.081874370574951,"{""loss"": 3.320061206817627, ""mape"": 3.320061206817627, ""mae"": 0.6830978989601135, ""val_loss"": 4.045048713684082, ""val_mape"": 4.045048713684082, ""val_mae"": 0.7864006161689758, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 1.6755790710449219, ""val_me"": -0.24303397274917926, ""val_me12"": 1.3916266553616898, ""mape_2021"": 5.081874370574951, ""mae_2021"": 0.8304613828659058, ""mae12_2021"": 1.4894522428512573, ""me_2021"": 0.025877128845675456, ""me12_2021"": 0.7146212177480032, ""epochs_trained"": 304}",2026-07-21T02:32:24.872619,completed,87.5
3,MAPE,90,3,leaky_relu,3,256,0.05,3.611721992492676,0.6600214242935181,1.4884178638458252,-0.07704898615905016,1.1145090289078872,3.611721992492676,0.7533167004585266,1.1767632961273193,0.20609188486180946,0.3041071766391998,4.499227046966553,"{""loss"": 4.528726100921631, ""mape"": 4.528726100921631, ""mae"": 0.942977249622345, ""val_loss"": 3.611721992492676, ""val_mape"": 3.611721992492676, ""val_mae"": 0.6600214242935181, ""lr"": 0.00010000000474974513, ""val_mae12"": 1.4884178638458252, ""val_me"": -0.07704898615905016, ""val_me12"": 1.1145090289078872, ""mape_2021"": 4.499227046966553, ""mae_2021"": 0.7533167004585266, ""mae12_2021"": 1.1767632961273193, ""me_2021"": 0.20609188486180946, ""me12_2021"": 0.3041071766391998, ""epochs_trained"": 311}",2026-07-21T02:32:28.808136,completed,91.5
3,MAPE,90,3,leaky_relu,3,256,0.3,3.1184353828430176,0.6121730208396912,1.1482999324798584,0.13765616050620397,0.43142200658396856,3.1184353828430176,0.7915515303611755,1.2309023141860962,0.5672472555429355,-0.6902891637559517,4.7401652336120605,"{""loss"": 7.016003608703613, ""mape"": 7.016003608703613, ""mae"": 1.5579180717468262, ""val_loss"": 3.1184353828430176, ""val_mape"": 3.1184353828430176, ""val_mae"": 0.6121730208396912, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 1.1482999324798584, ""val_me"": 0.13765616050620397, ""val_me12"": 0.43142200658396856, ""mape_2021"": 4.7401652336120605, ""mae_2021"": 0.7915515303611755, ""mae12_2021"": 1.2309023141860962, ""me_2021"": 0.5672472555429355, ""me12_2021"": -0.6902891637559517, ""epochs_trained"": 330}",2026-07-21T02:32:29.245215,completed,91.9
3,MAPE,90,3,leaky_relu,3,256,0.1,3.449492931365967,0.6624860167503357,1.415079951286316,-0.17469401079636265,0.8909590600798564,3.449492931365967,0.707039475440979,1.2329820394515991,0.18267764945649034,-0.12134027222468957,4.347702503204346,"{""loss"": 5.140685081481934, ""mape"": 5.140685081481934, ""mae"": 1.098516821861267, ""val_loss"": 3.449492931365967, ""val_mape"": 3.449492931365967, ""val_mae"": 0.6624860167503357, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 1.415079951286316, ""val_me"": -0.17469401079636265, ""val_me12"": 0.8909590600798564, ""mape_2021"": 4.347702503204346, ""mae_2021"": 0.707039475440979, ""mae12_2021"": 1.2329820394515991, ""me_2021"": 0.18267764945649034, ""me12_2021"": -0.12134027222468957, ""epochs_trained"": 335}",2026-07-21T02:32:29.448050,completed,92.1
3,MAPE,90,3,selu,1,16,0.05,48.16324996948242,9.694464683532715,11.374673843383789,7.058610033715989,11.032862916985353,48.16324996948242,10.903308868408203,13.120316505432129,8.625683219847463,12.576529206207011,64.24932098388672,"{""loss"": 50.804012298583984, ""mape"": 50.804012298583984, ""mae"": 10.873091697692871, ""val_loss"": 48.16324996948242, ""val_mape"": 48.16324996948242, ""val_mae"": 9.694464683532715, ""lr"": 0.00010000000474974513, ""val_mae12"": 11.374673843383789, ""val_me"": 7.058610033715989, ""val_me12"": 11.032862916985353, ""mape_2021"": 64.24932098388672, ""mae_2021"": 10.903308868408203, ""mae12_2021"": 13.120316505432129, ""me_2021"": 8.625683219847463, ""me12_2021"": 12.576529206207011, ""epochs_trained"": 149}",2026-07-21T02:32:37.142983,completed,8.3
3,MAPE,90,3,selu,1,16,0.3,47.52243423461914,9.448442459106445,15.125082015991211,6.231426734900391,15.256841486822474,47.52243423461914,10.515120506286621,16.868432998657227,7.7291658492617765,16.967694153646136,66.21279907226562,"{""loss"": 61.05821990966797, ""mape"": 61.05821990966797, ""mae"": 13.58598518371582, ""val_loss"": 47.52243423461914, ""val_mape"": 47.52243423461914, ""val_mae"": 9.448442459106445, ""lr"": 0.00010000000474974513, ""val_mae12"": 15.125082015991211, ""val_me"": 6.231426734900391, ""val_me12"": 15.256841486822474, ""mape_2021"": 66.21279907226562, ""mae_2021"": 10.515120506286621, ""mae12_2021"": 16.868432998657227, ""me_2021"": 7.7291658492617765, ""me12_2021"": 16.967694153646136, ""epochs_trained"": 147}",2026-07-21T02:32:37.657715,completed,8.2
3,MAPE,90,3,selu,1,16,0.1,38.33263397216797,7.620971202850342,11.100238800048828,5.081636175077885,11.057805183247995,38.33263397216797,8.944937705993652,10.637279510498047,6.804356985789519,10.348756749578707,50.986488342285156,"{""loss"": 47.80937576293945, ""mape"": 47.80937576293945, ""mae"": 10.103897094726562, ""val_loss"": 38.33263397216797, ""val_mape"": 38.33263397216797, ""val_mae"": 7.620971202850342, ""lr"": 0.00010000000474974513, ""val_mae12"": 11.100238800048828, ""val_me"": 5.081636175077885, ""val_me12"": 11.057805183247995, ""mape_2021"": 50.986488342285156, ""mae_2021"": 8.944937705993652, ""mae12_2021"": 10.637279510498047, ""me_2021"": 6.804356985789519, ""me12_2021"": 10.348756749578707, ""epochs_trained"": 263}",2026-07-21T02:32:41.034491,completed,11.8
3,MAPE,90,3,selu,1,16,0.0,4.806135654449463,0.9937716126441956,1.1723500490188599,-0.08426574663053052,0.7170057624182843,4.806135654449463,1.3478506803512573,1.0833795070648193,0.854786036350483,-0.6349386360539834,6.917796611785889,"{""loss"": 5.33498477935791, ""mape"": 5.33498477935791, ""mae"": 1.2010833024978638, ""val_loss"": 4.806135654449463, ""val_mape"": 4.806135654449463, ""val_mae"": 0.9937716126441956, ""lr"": 0.00010000000474974513, ""val_mae12"": 1.1723500490188599, ""val_me"": -0.08426574663053052, ""val_me12"": 0.7170057624182843, ""mape_2021"": 6.917796611785889, ""mae_2021"": 1.3478506803512573, ""mae12_2021"": 1.0833795070648193, ""me_2021"": 0.854786036350483, ""me12_2021"": -0.6349386360539834, ""epochs_trained"": 1584}",2026-07-21T02:33:17.402420,completed,52.5
3,MAPE,90,3,selu,1,32,0.05,49.719444274902344,10.09848403930664,11.148067474365234,7.360914422862429,10.75753357331363,49.719444274902344,11.063066482543945,12.55518913269043,8.92998208429903,11.87140054309098,64.41761779785156,"{""loss"": 50.5774040222168, ""mape"": 50.5774040222168, ""mae"": 10.79704475402832, ""val_loss"": 49.719444274902344, ""val_mape"": 49.719444274902344, ""val_mae"": 10.09848403930664, ""lr"": 0.00010000000474974513, ""val_mae12"": 11.148067474365234, ""val_me"": 7.360914422862429, ""val_me12"": 10.75753357331363, ""mape_2021"": 64.41761779785156, ""mae_2021"": 11.063066482543945, ""mae12_2021"": 12.55518913269043, ""me_2021"": 8.92998208429903, ""me12_2021"": 11.87140054309098, ""epochs_trained"": 116}",2026-07-21T02:33:31.175794,completed,13.1
